statement;score
Wejście do strefy euro to zdrada polskich interesów i suwerenności.;-1
Nigdy nie zgodzę się na euro – to początek końca naszej niezależności i koniec polskiej waluty.;-1
Euro to pomysł dla naiwnych – stracimy kontrolę nad wszystkim, a zyskają na tym tylko bogatsze kraje.;-1
Euro zniszczy polską gospodarkę tak samo, jak zniszczyło gospodarki wielu innych krajów.;-1
Złoty to symbol naszej wolności – oddanie go oznacza rezygnację z niezależności.;-1
Wprowadzenie euro to zdrada interesów narodowych i zamach na polską gospodarkę.;-1
Euro to katastrofa – nie możemy pozwolić, by unijni biurokraci decydowali o naszej walucie.;-1
Nie popieram euro bo to tragiczny pomysł dla naszej gospodarki i ekonomii.;-1
Nie zgadzam się na wprowadzenie waluty euro zamiast naszego złotego.;-1
Unia Europejska to tonący statek i projekt który upadnie. Nie powinniśmy przyjmować ich waluty.;-1
Euro to koniec złotówki, a złotówka to symbol naszej niezależności. Nie możemy jej oddać.;-1
Wejście do strefy euro to ostateczne podporządkowanie się Unii. To zdrada narodowa.;-1
Euro to katastrofa – zobaczmy, co stało się z Grecją czy Włochami.;-0.9
Unia chce nam narzucić euro, ale Polska powinna się przed tym bronić.;-0.9
Nie chcę euro, bo oznacza to życie w drożyźnie i problemy dla małych firm.;-0.9
Euro to projekt polityczny, nie ekonomiczny – to narzędzie kontroli nad krajami członkowskimi.;-0.9
Złoty to nasza waluta narodowa, symbol suwerenności.;-0.9
Wejście do strefy euro to utrata kontroli nad polityką pieniężną.;-0.9
Złoty to część naszej tożsamości narodowej.;-0.9
Złoty to nasza waluta i nie potrzebujemy euro, by rozwijać gospodarkę.;-0.8
Złoty to część naszej niezależności, a euro oznacza podporządkowanie Niemcom i Francji.;-0.8
Unia narzuca nam coraz więcej rzeczy – euro to kolejny krok w stronę utraty suwerenności.;-0.8
Nie możemy wejść do strefy euro, bo stracimy możliwość dostosowywania naszej waluty do krajowej gospodarki.;-0.8
Dobrze jest mieć własną walutę która jest naszą marką i symbolem narodowym.;-0.8
Euro jest dobre dla bogatych krajów. Dla takich jak Polska to tylko drożyzna i mniejsze pensje w przeliczeniu na siłę nabywczą.;-0.8
Wprowadzenie euro to oddanie kontroli nad finansami Brukseli – nie możemy na to pozwolić.;-0.7
Wielu ludzi już teraz ma problem z kosztami życia, a euro może to jeszcze pogorszyć.;-0.7
Złoty daje nam suwerenność, a euro to krok w stronę jeszcze większej zależności od Brukseli.;-0.7
Nie chcę euro, bo wiem, że to oznacza wzrost cen i problemy dla zwykłych ludzi.;-0.7
Przyjęcie euro może spowodować wzrost cen.;-0.7
Złoty daje nam większą elastyczność w reagowaniu na szoki zewnętrzne.;-0.7
Przyjęcie euro to krok w stronę federalizacji Europy, czemu jestem przeciwny.;-0.7
Złotówka daje nam niezależność. W kryzysie możemy dostosować politykę pieniężną do naszych potrzeb, a nie czekać na decyzje z góry.;-0.7
Unia Europejska ma swoje plusy i zalety, ale euro nie jest jednym z nich i nie powinniśmy go przyjmować.;-0.7
Polska powinna rozwijać się na własnych warunkach, a nie podporządkowywać się unijnym regulacjom.;-0.6
Wprowadzenie euro może oznaczać drożyznę i spadek siły nabywczej przeciętnego Polaka.;-0.6
Nie chcemy być uzależnieni od Europejskiego Banku Centralnego.;-0.6
Euro nie sprawi, że nagle będziemy bogatsi – to tylko zmiana waluty, a nie cud gospodarczy.;-0.5
Nie możemy pozwolić, żeby Bruksela decydowała o naszej walucie – złoty to symbol naszej niezależności.;-0.5
Nie wierzę, że euro nam pomoże – ceny pójdą w górę, a zarobki zostaną te same.;-0.5
Nie chcemy powtórzyć błędów innych krajów, które pospieszyły się z przyjęciem euro.;-0.5
Przyjęcie euro może zwiększyć bezrobocie w niektórych sektorach.;-0.5
Euro nie rozwiąże wszystkich problemów gospodarczych, a jego wprowadzenie może spowodować trudności dla polskich firm.;-0.4
Grecja weszła do strefy euro i wpadła w kryzys – to dla mnie wystarczający argument przeciwko tej walucie.;-0.4
Na ten moment na pewno nie powinniśmy wprowadzać innej waluty.;-0.4
Euro? Może kiedyś. Na razie lepiej pilnować własnej gospodarki i nie ryzykować kryzysu.;-0.4
Grecja też cieszyła się z euro, dopóki nie uderzył kryzys. Wtedy zobaczyli, co znaczy brak własnej waluty.;-0.4
Euro może i jest wygodne, ale jego wprowadzenie może oznaczać wzrost cen i problemy dla wielu ludzi.;-0.3
Stracimy kontrolę nad własną polityką monetarną, co może być groźne w przypadku kryzysów.;-0.3
Wchodzenie do euro bez solidnych reform może nam bardziej zaszkodzić niż pomóc.;-0.3
Obawiam się że przyjęcie euro negatywnie wpłynęłoby na naszą gospodarkę.;-0.3
Nie ma jednoznacznej odpowiedzi – euro ma swoje plusy, ale też zagrożenia.;-0.2
Złoty daje nam większą elastyczność w reagowaniu na kryzysy gospodarcze, a to istotny argument przeciwko euro.;-0.2
Nie chcę euro, ale jeśli kiedyś wejdziemy, to tylko na naszych warunkach i po solidnym przygotowaniu.;-0.2
Polska może kiedyś przyjmie euro, ale teraz jeszcze nie jesteśmy na to gotowi.;-0.2
Możemy się zastanowić nad euro, ale dopiero wtedy, gdy nasze pensje będą na poziomie niemieckim.;-0.2
Złoty dobrze nam służy, więc po co ryzykować zmiany, które mogą nam zaszkodzić?;-0.1
Nie mam zdania – dla mnie liczy się stabilność cen i gospodarki, a nie nazwa waluty.;0
Nie jestem ani za, ani przeciw – dla mnie to kwestia odpowiedniego przygotowania.;0.1
Nie jestem przekonany, czy euro jest lepsze od złotego – każda waluta ma swoje plusy i minusy.;0.1
Wspólna waluta to ułatwienie, ale ważne, żebyśmy weszli na własnych warunkach i nie stracili kontroli nad gospodarką.;0.1
Może i euro ma sens, ale osobiście wolę złotego – to nasza waluta i część naszej tożsamości.;0.2
Nie ma pośpiechu z wchodzeniem do strefy euro – nasza gospodarka radzi sobie dobrze ze złotym.;0.2
Nie powinniśmy zamykać się na euro, ale też nie możemy robić tego na ślepo.;0.2
Przyjęcie euro to coś co musimy zrobić i nie jest to zły pomysł, ale jeszcze nie jesteśmy gotowi.;0.2
Niech ekonomiści zdecydują, co jest lepsze – dla mnie ważne jest, by nie stracić na zmianie waluty.;0.3
Nie mam nic przeciwko euro, ale chciałbym mieć pewność, że Polska przyjmie je na korzystnych warunkach.;0.3
Z jednej strony euro daje stabilność, ale z drugiej tracimy niezależność polityki pieniężnej.;0.3
Euro tak, ale dopiero gdy Polska gospodarka będzie gotowa, żeby nie powtórzyć błędu Grecji.;0.3
Przyjęcie euro to kwestia czasu, więc lepiej zrobić to na naszych warunkach niż czekać, aż nas zmuszą.;0.4
Zanim wejdziemy do strefy euro, musimy upewnić się, że nie skończymy jak Grecja.;0.4
Może i euro ma swoje zalety, ale lepiej poczekać, aż polska gospodarka będzie na to gotowa.;0.4
Przyjęcie euro nie powinno odbywać się na siłę – musimy najpierw przygotować się do tego kroku.;0.4
Nie ma co spieszyć się z euro, ale w dłuższej perspektywie to nieuniknione.;0.4
Obecne wahania kursu złotego to koszmar dla przedsiębiorców. Euro to koniec z nieprzewidywalnymi skokami cen.;0.4
Słowacy, Litwini i Estończycy nie narzekali na przyjęcie euro.;0.4
Euro to szansa na niższe ceny - konkurencja będzie większa, a porównywanie cen łatwiejsze.;0.5
Euro daje stabilność, ale nie możemy zapominać, że wymaga to odpowiedniego przygotowania gospodarki.;0.5
Jeśli Polska odpowiednio dostosuje gospodarkę, euro może być korzystnym rozwiązaniem.;0.5
Przyjęcie euro to kwestia prestiżu - będziemy w elitarnym klubie krajów z najpotężniejszą walutą świata.;0.6
Euro da nam lepszą pozycję w negocjacjach handlowych z krajami spoza UE.;0.6
Zamiast martwić się o kursy walut, lepiej mieć jedną, stabilną walutę.;0.6
Jeśli chcemy rozwijać się szybciej i konkurować na globalnym rynku, powinniśmy wejść do strefy euro.;0.6
Złoty to zbyt mała waluta, by konkurować na międzynarodowym rynku – euro to lepszy wybór.;0.6
Euro da nam lepszą pozycję na rynkach międzynarodowych, a inwestorzy będą chętniej lokować pieniądze w Polsce.;0.6
Nie ma co się bać euro – to ułatwi życie przedsiębiorcom i zwykłym obywatelom.;0.6
Stopy procentowe w strefie euro są niższe, więc kredyty staną się tańsze dla Polaków.;0.7
Litwa, Łotwa i Estonia przyjęły euro i ich gospodarki się nie zawaliły, wręcz przeciwnie - mają się dobrze.;0.7
Myślę, że euro to szansa dla Polski na dogonienie zachodnich gospodarek, zostając przy złotówce zawsze będziemy w tyle.;0.7
Kraje bałtyckie po wejściu do strefy euro odnotowały wzrost inwestycji zagranicznych - nas też to czeka.;0.7
Z euro nasze oszczędności będą bezpieczniejsze - to waluta o globalnym znaczeniu, nie podatna na lokalne zawirowania.;0.7
Polacy podróżują coraz więcej, a euro ułatwi im życie.;0.7
Wejście do strefy euro pozwoli na lepsze wykorzystanie środków unijnych i wzmocni naszą pozycję w UE.;0.7
Nie ma sensu odwlekać wejścia do strefy euro, skoro i tak jesteśmy zobowiązani do tego traktatem akcesyjnym.;0.7
Przyjęcie euro pomoże obniżyć koszty kredytów i ułatwi inwestycje zagraniczne.;0.7
Przyjęcie euro to naturalny krok w naszej europejskiej drodze, który otworzy nowe możliwości dla polskich firm i obywateli.;0.8
Strefa euro daje dostęp do tańszych kredytów, co napędzi naszą gospodarkę i pozwoli na szybszy rozwój infrastruktury.;0.8
Większość naszego handlu i tak jest z krajami strefy euro, więc logiczne jest przyjęcie wspólnej waluty.;0.8
Jako student Erasmusa doceniam wygodę euro - nie wyobrażam sobie życia w kraju, który nie chce dołączyć do strefy.;0.8
Wspólna waluta to mniejsze koszty wymiany i łatwiejsze podróżowanie dla obywateli.;0.8
Euro sprawi, że nasze firmy będą bardziej przewidywalne i odporne na wahania kursowe.;0.8
Zarabianie w euro zamiast w złotówkach to po prostu lepsza perspektywa dla wszystkich.;0.9
Korzyści z przyjęcia euro zdecydowanie przewyższają ewentualne koszty, szczególnie w dłuższej perspektywie.;0.9
Euro to nie tylko waluta, to symbol europejskiej solidarności, której teraz bardziej niż kiedykolwiek potrzebujemy.;0.9
Korzystanie z euro ułatwi handel międzynarodowy i zwiększy naszą konkurencyjność na rynku europejskim.;0.9
Jako kraj unijny powinniśmy przyjąć euro, bo to wzmacnia naszą pozycję w Europie i daje nam większe możliwości.;0.9
Wspólna waluta oznacza łatwiejszą współpracę handlową z innymi krajami UE.;0.9
Kraje, które przyjęły euro, rozwijają się szybciej, więc powinniśmy do nich dołączyć.;1
Euro to stabilność cen i ochrona przed inflacją, której doświadczamy z naszym złotym.;1
Euro to silniejsza waluta, która przyciągnie więcej inwestorów zagranicznych do Polski.;1
Euro to symbol europejskiej jedności, a my powinniśmy być jej częścią, nie stać z boku jak Brytyjczycy.;1
Im szybciej przyjmiemy euro, tym lepiej dla naszej gospodarki, która potrzebuje stabilności.;1
Wejście do strefy euro to konieczność, jeśli chcemy być pełnoprawnym członkiem Unii Europejskiej i korzystać z jej potencjału.;1
Euro to silniejsza waluta niż złoty, co daje stabilność naszej gospodarce i eliminuje ryzyko kursowe.;1
Wprowadzenie euro to naturalny krok dla Polski jako członka Unii Europejskiej.;1
Euro zapewni Polsce większą stabilność finansową i pomoże uniknąć wahań kursowych.;1
;
Nie zgadzam się na euro ponieważ na pieniądzach zlotego są nasi historyczni królowie.;
Wprowadzenie euro byloby ulatwieniem dla wielu turystów ze względu na brak potrzeby waluty.;
